region,ym,mean_humidity
강릉,2023-01,44.0
강릉,2023-02,54.0
강릉,2023-03,50.0
강릉,2023-04,54.0
강릉,2023-05,59.0
강릉,2023-06,66.0
강릉,2023-07,72.0
강릉,2023-08,80.0
강릉,2023-09,80.0
강릉,2023-10,59.0
강릉,2023-11,48.0
강릉,2023-12,56.0
강릉,2024-01,54.0
강릉,2024-02,75.0
강릉,2024-03,58.0
강릉,2024-04,60.0
강릉,2024-05,56.0
강릉,2024-06,65.0
강릉,2024-07,72.0
강릉,2024-08,73.0
강릉,2024-09,83.0
강릉,2024-10,74.0
강릉,2024-11,64.0
강릉,2024-12,42.0
강릉,2025-01,49.0
강릉,2025-02,38.0
강릉,2025-03,60.0
강릉,2025-04,56.0
강릉,2025-05,62.0
강릉,2025-06,62.0
강릉,2025-07,67.0
강릉,2025-08,67.0
강릉,2025-09,74.0
강릉,2025-10,82.0
속초,2023-01,45.0
속초,2023-02,53.0
속초,2023-03,54.0
속초,2023-04,61.0
속초,2023-05,67.0
속초,2023-06,74.0
속초,2023-07,79.0
속초,2023-08,85.0
속초,2023-09,81.0
속초,2023-10,59.0
속초,2023-11,48.0
속초,2023-12,56.0
속초,2024-01,53.0
속초,2024-02,75.0
속초,2024-03,58.0
속초,2024-04,66.0
속초,2024-05,61.0
속초,2024-06,74.0
속초,2024-07,75.0
속초,2024-08,79.0
속초,2024-09,85.0
속초,2024-10,74.0
속초,2024-11,61.0
속초,2024-12,36.0
속초,2025-01,43.0
속초,2025-02,34.0
속초,2025-03,61.0
속초,2025-04,65.0
속초,2025-05,67.0
속초,2025-06,69.0
속초,2025-07,77.0
속초,2025-08,77.0
속초,2025-09,78.0
속초,2025-10,82.0
원주,2023-01,64.0
원주,2023-02,55.0
원주,2023-03,45.0
원주,2023-04,53.0
원주,2023-05,58.0
원주,2023-06,65.0
원주,2023-07,77.0
원주,2023-08,74.0
원주,2023-09,75.0
원주,2023-10,72.0
원주,2023-11,61.0
원주,2023-12,68.0
원주,2024-01,66.0
원주,2024-02,69.0
원주,2024-03,54.0
원주,2024-04,54.0
원주,2024-05,59.0
원주,2024-06,60.0
원주,2024-07,76.0
원주,2024-08,72.0
원주,2024-09,73.0
원주,2024-10,75.0
원주,2024-11,70.0
원주,2024-12,58.0
원주,2025-01,63.0
원주,2025-02,53.0
원주,2025-03,53.0
원주,2025-04,56.0
원주,2025-05,66.0
원주,2025-06,69.0
원주,2025-07,74.0
원주,2025-08,76.0
원주,2025-09,79.0
원주,2025-10,79.0
인제,2023-01,70.0
인제,2023-02,65.0
인제,2023-03,55.0
인제,2023-04,62.0
인제,2023-05,66.0
인제,2023-06,74.0
인제,2023-07,83.0
인제,2023-08,81.0
인제,2023-09,82.0
인제,2023-10,80.0
인제,2023-11,65.0
인제,2023-12,73.0
인제,2024-01,69.0
인제,2024-02,76.0
인제,2024-03,61.0
인제,2024-04,63.0
인제,2024-05,68.0
인제,2024-06,70.0
인제,2024-07,83.0
인제,2024-08,79.0
인제,2024-09,81.0
인제,2024-10,82.0
인제,2024-11,73.0
인제,2024-12,61.0
인제,2025-01,69.0
인제,2025-02,56.0
인제,2025-03,64.0
인제,2025-04,60.0
인제,2025-05,71.0
인제,2025-06,71.0
인제,2025-07,79.0
인제,2025-08,81.0
인제,2025-09,83.0
인제,2025-10,81.0
철원,2023-01,75.0
철원,2023-02,68.0
철원,2023-03,58.0
철원,2023-04,64.0
철원,2023-05,67.0
철원,2023-06,78.0
철원,2023-07,86.0
철원,2023-08,85.0
철원,2023-09,84.0
철원,2023-10,79.0
철원,2023-11,73.0
철원,2023-12,79.0
철원,2024-01,74.0
철원,2024-02,78.0
철원,2024-03,63.0
철원,2024-04,63.0
철원,2024-05,71.0
철원,2024-06,69.0
철원,2024-07,87.0
철원,2024-08,83.0
철원,2024-09,83.0
철원,2024-10,84.0
철원,2024-11,76.0
철원,2024-12,67.0
철원,2025-01,73.0
철원,2025-02,62.0
철원,2025-03,64.0
철원,2025-04,66.0
철원,2025-05,74.0
철원,2025-06,76.0
철원,2025-07,84.0
철원,2025-08,85.0
철원,2025-09,86.0
철원,2025-10,84.0
