지역명,년월,평균기온
강릉,2023-01,2.4
강릉,2023-02,5.2
강릉,2023-03,12.1
강릉,2023-04,15.3
강릉,2023-05,20.3
강릉,2023-06,23.2
강릉,2023-07,27.5
강릉,2023-08,26.2
강릉,2023-09,22.4
강릉,2023-10,17.0
강릉,2023-11,10.5
강릉,2023-12,3.6
강릉,2024-01,2.2
강릉,2024-02,3.6
강릉,2024-03,7.0
강릉,2024-04,15.8
강릉,2024-05,19.5
강릉,2024-06,24.3
강릉,2024-07,27.9
강릉,2024-08,28.7
강릉,2024-09,23.1
강릉,2024-10,16.7
강릉,2024-11,11.5
강릉,2024-12,3.8
강릉,2025-01,1.9
강릉,2025-02,1.8
강릉,2025-03,8.0
강릉,2025-04,13.9
강릉,2025-05,18.3
강릉,2025-06,25.0
강릉,2025-07,28.8
강릉,2025-08,29.0
강릉,2025-09,23.3
강릉,2025-10,16.0
속초,2023-01,0.2
속초,2023-02,2.7
속초,2023-03,9.3
속초,2023-04,12.6
속초,2023-05,17.0
속초,2023-06,21.9
속초,2023-07,25.8
속초,2023-08,24.7
속초,2023-09,21.7
속초,2023-10,16.4
속초,2023-11,8.8
속초,2023-12,2.3
속초,2024-01,0.6
속초,2024-02,1.9
속초,2024-03,5.7
속초,2024-04,13.9
속초,2024-05,17.8
속초,2024-06,22.3
속초,2024-07,26.8
속초,2024-08,27.6
속초,2024-09,22.1
속초,2024-10,16.1
속초,2024-11,10.8
속초,2024-12,3.1
속초,2025-01,1.2
속초,2025-02,1.2
속초,2025-03,6.8
속초,2025-04,11.7
속초,2025-05,16.5
속초,2025-06,22.8
속초,2025-07,26.7
속초,2025-08,27.3
속초,2025-09,22.2
속초,2025-10,15.4
원주,2023-01,-2.3
원주,2023-02,1.9
원주,2023-03,9.5
원주,2023-04,13.5
원주,2023-05,18.6
원주,2023-06,23.1
원주,2023-07,25.9
원주,2023-08,26.7
원주,2023-09,22.7
원주,2023-10,13.9
원주,2023-11,6.9
원주,2023-12,1.0
원주,2024-01,-0.2
원주,2024-02,4.1
원주,2024-03,7.1
원주,2024-04,16.4
원주,2024-05,18.6
원주,2024-06,23.9
원주,2024-07,26.6
원주,2024-08,28.3
원주,2024-09,24.5
원주,2024-10,15.7
원주,2024-11,9.1
원주,2024-12,0.3
원주,2025-01,-1.3
원주,2025-02,-1.4
원주,2025-03,8.0
원주,2025-04,13.3
원주,2025-05,17.3
원주,2025-06,23.8
원주,2025-07,27.7
원주,2025-08,27.5
원주,2025-09,22.4
원주,2025-10,15.9
인제,2023-01,-4.6
인제,2023-02,-0.3
인제,2023-03,7.4
인제,2023-04,12.0
인제,2023-05,17.0
인제,2023-06,21.7
인제,2023-07,25.4
인제,2023-08,25.1
인제,2023-09,20.9
인제,2023-10,12.3
인제,2023-11,5.6
인제,2023-12,-1.0
인제,2024-01,-2.1
인제,2024-02,1.2
인제,2024-03,4.8
인제,2024-04,13.8
인제,2024-05,16.3
인제,2024-06,22.2
