region,year,month_num,month,IDI,IDI_with_infra
강릉,2023,1,2023-01,-0.3940211120437494,-0.6240638613547127
강릉,2023,2,2023-02,-0.5180994171640049,-0.7171225901949043
강릉,2023,3,2023-03,-0.8165188155434957,-0.9409371389795225
강릉,2023,4,2023-04,-1.2603105491419473,-1.2737809391783612
강릉,2023,5,2023-05,-1.3278866139742218,-1.324462987802567
강릉,2023,6,2023-06,-1.1554303542198692,-1.1951207929868026
강릉,2023,7,2023-07,-0.7781876689879246,-0.9121887790628441
강릉,2023,8,2023-08,-0.20268370841885194,-0.48056080863603967
강릉,2023,9,2023-09,0.10359567290139822,-0.25085127264585205
강릉,2023,10,2023-10,0.219185126698877,-0.16415918229774296
강릉,2023,11,2023-11,-0.11564747990989292,-0.4152836372543204
강릉,2023,12,2023-12,0.12200323220814087,-0.23704560316579504
강릉,2024,1,2024-01,0.30860385770162146,-0.0970951340456846
강릉,2024,2,2024-02,0.5658149904030946,0.09581321548042021
강릉,2024,3,2024-03,0.6313948636269968,0.14499812039834692
강릉,2024,4,2024-04,0.2561400582262846,-0.13644298365218724
강릉,2024,5,2024-05,-0.4287873389742993,-0.6501385315526251
강릉,2024,6,2024-06,-1.2347710247562151,-1.2546262958890622
강릉,2024,7,2024-07,-1.067623360296058,-1.1292655475439441
강릉,2024,8,2024-08,-1.2986615310668637,-1.3025441756220484
강릉,2024,9,2024-09,-0.9429979165425575,-1.035796464728819
강릉,2024,10,2024-10,-0.002348980038202386,-0.3303097623505525
강릉,2024,11,2024-11,0.41872612364970835,-0.014503434584619446
강릉,2024,12,2024-12,0.3262002633296271,-0.08389782982468036
강릉,2025,1,2025-01,-0.45152117256262764,-0.6671889067438714
강릉,2025,2,2025-02,-1.0211507976967364,-1.094411125594453
강릉,2025,3,2025-03,-0.8518602126539779,-0.9674431868123842
강릉,2025,4,2025-04,-0.7567504317447264,-0.8961108511304455
강릉,2025,5,2025-05,-0.915209295110774,-1.0149549986549813
강릉,2025,6,2025-06,-1.7431905897144653,-1.6359409696077498
강릉,2025,7,2025-07,-1.9047755111180242,-1.7571296606604188
강릉,2025,8,2025-08,-1.570527402668974,-1.5064435793236313
강릉,2025,9,2025-09,-1.3132542340301139,-1.3134887028444862
강릉,2025,10,2025-10,-0.1730516968103408,-0.45833679992965626
속초,2023,1,2023-01,0.1763355920064781,0.15215624078222245
속초,2023,2,2023-02,-0.006685421289103803,0.014890480810536021
속초,2023,3,2023-03,-0.16207601032007535,-0.10165246096269263
속초,2023,4,2023-04,-0.5114769734839132,-0.36370318333557106
속초,2023,5,2023-05,-0.6581928982438989,-0.47374012690556033
속초,2023,6,2023-06,-0.5483890275989841,-0.39138722392187425
속초,2023,7,2023-07,-0.19876285598764695,-0.12916759521337134
속초,2023,8,2023-08,0.42744007734761563,0.3404846047880756
속초,2023,9,2023-09,0.8169811863001449,0.6326404365024726
속초,2023,10,2023-10,0.9338072004089941,0.7202599470841095
속초,2023,11,2023-11,0.5202469206429702,0.4100897372595915
속초,2023,12,2023-12,0.6090982086260891,0.4767282032469307
속초,2024,1,2024-01,0.8232459946201353,0.6373390427424653
속초,2024,2,2024-02,0.9510304813981643,0.7331774078259871
속초,2024,3,2024-03,1.0504096697995264,0.8077117991270087
속초,2024,4,2024-04,0.6623770745146526,0.5166873526633533
속초,2024,5,2024-05,0.15716310923324564,0.1377768787022981
속초,2024,6,2024-06,-0.6615983664328319,-0.47629422804726007
속초,2024,7,2024-07,-0.4062427330949137,-0.28477750304382143
속초,2024,8,2024-08,-0.6904529972546499,-0.49793520116362355
속초,2024,9,2024-09,-0.44525543721277355,-0.3140370311322163
속초,2024,10,2024-10,0.4409848455912801,0.3506431809708239
속초,2024,11,2024-11,0.9036908130953304,0.6976726565988617
속초,2024,12,2024-12,0.8305377309867201,0.642807845017404
