"분야-부문","계","일반회계","공기업특별회계","기타특별회계"
"합계","1,429,732","1,264,264","121,132","44,337"
"일반공공행정","59,188","59,188","0","0"
"입법및선거관리","2,045","2,045","0","0"
"지방행정ㆍ재정지원","7,689","7,689","0","0"
"일반행정","49,453","49,453","0","0"
"공공질서및안전","12,335","12,335","0","0"
"재난방재ㆍ민방위","12,335","12,335","0","0"
"교육","8,248","8,248","0","0"
"유아및초중등교육","5,243","5,243","0","0"
"고등교육","1,294","1,294","0","0"
"평생ㆍ직업교육","1,711","1,711","0","0"
"문화및관광","118,084","118,084","0","0"
"문화예술","31,227","31,227","0","0"
"관광","41,016","41,016","0","0"
"체육","30,548","30,548","0","0"
"문화재","15,043","15,043","0","0"
"문화및관광일반","250","250","0","0"
"환경","182,205","78,241","103,962","2"
"상하수도ㆍ수질","118,255","14,293","103,962","0"
"폐기물","35,390","35,388","0","2"
"대기","18,984","18,984","0","0"
"자연","4,390","4,390","0","0"
"해양","5,186","5,186","0","0"
"사회복지","464,066","460,634","0","3,432"
"기초생활보장","54,454","51,021","0","3,432"
"취약계층지원","92,706","92,706","0","0"
"보육ㆍ가족및여성","70,334","70,334","0","0"
"노인ㆍ청소년","217,967","217,967","0","0"
"노동","7,984","7,984","0","0"
"보훈","6,346","6,346","0","0"
"주택","14,275","14,275","0","0"
"보건","17,613","17,613","0","0"
"보건의료","15,141","15,141","0","0"
"식품의약안전","2,472","2,472","0","0"
"농림해양수산","108,079","108,079","0","0"
"농업ㆍ농촌","61,391","61,391","0","0"
"임업ㆍ산촌","26,757","26,757","0","0"
"해양수산ㆍ어촌","19,930","19,930","0","0"
"산업ㆍ중소기업및에너지","65,910","50,344","0","15,566"
"산업기술지원","965","965","0","0"
"산업진흥ㆍ고도화","31,403","31,403","0","0"
"에너지및자원개발","33,157","17,591","0","15,566"
"산업ㆍ중소기업일반","385","385","0","0"
"교통및물류","80,606","68,045","0","12,561"
"도로","19,314","15,064","0","4,250"
"대중교통ㆍ물류등기타","61,292","52,982","0","8,311"
"국토및지역개발","129,065","109,890","6,808","12,366"
"수자원","19,617","19,617","0","0"
"지역및도시","90,825","78,459","0","12,366"
"산업단지","18,623","11,814","6,808","0"
"예비비","10,845","10,798","47","0"
"예비비","10,845","10,798","47","0"
"기타","173,490","162,766","10,314","410"
"기타","173,490","162,766","10,314","410"
