"분야-부문","계","일반회계","공기업특별회계","기타특별회계"
"합계","495,974","421,948","43,787","30,239"
"일반공공행정","61,997","40,754","0","21,243"
"입법및선거관리","829","829","0","0"
"지방행정ㆍ재정지원","44,930","23,687","0","21,243"
"일반행정","16,238","16,238","0","0"
"공공질서및안전","3,269","3,269","0","0"
"재난방재ㆍ민방위","3,269","3,269","0","0"
"교육","6,119","6,119","0","0"
"유아및초중등교육","5,590","5,590","0","0"
"평생ㆍ직업교육","529","529","0","0"
"문화및관광","32,105","32,105","0","0"
"문화예술","11,825","11,825","0","0"
"관광","8,472","8,472","0","0"
"체육","6,685","6,685","0","0"
"문화재","4,603","4,603","0","0"
"문화및관광일반","520","520","0","0"
"환경","57,549","20,871","36,678","0"
"상하수도ㆍ수질","37,763","1,085","36,678","0"
"폐기물","11,817","11,817","0","0"
"대기","6,348","6,348","0","0"
"자연","555","555","0","0"
"해양","702","702","0","0"
"환경보호일반","364","364","0","0"
"사회복지","197,922","196,117","0","1,806"
"기초생활보장","35,062","33,256","0","1,806"
"취약계층지원","22,390","22,390","0","0"
"보육ㆍ가족및여성","52,471","52,471","0","0"
"노인ㆍ청소년","80,738","80,738","0","0"
"노동","1,789","1,789","0","0"
"보훈","4,307","4,307","0","0"
"사회복지일반","1,166","1,166","0","0"
"보건","7,055","7,055","0","0"
"보건의료","6,480","6,480","0","0"
"식품의약안전","575","575","0","0"
"농림해양수산","15,136","15,136","0","0"
"농업ㆍ농촌","5,710","5,710","0","0"
"임업ㆍ산촌","4,598","4,598","0","0"
"해양수산ㆍ어촌","4,827","4,827","0","0"
"산업ㆍ중소기업및에너지","11,561","5,952","0","5,609"
"산업금융지원","1,214","1,214","0","0"
"산업기술지원","315","315","0","0"
"무역및투자유치","461","461","0","0"
"산업진흥ㆍ고도화","7,898","2,289","0","5,609"
"에너지및자원개발","536","536","0","0"
"산업ㆍ중소기업일반","1,137","1,137","0","0"
"교통및물류","15,460","14,256","0","1,204"
"도로","5,715","5,715","0","0"
"대중교통ㆍ물류등기타","9,744","8,541","0","1,204"
"국토및지역개발","10,927","10,927","0","0"
"수자원","2,714","2,714","0","0"
"지역및도시","8,213","8,213","0","0"
"예비비","2,402","2,402","0","0"
"예비비","2,402","2,402","0","0"
"기타","74,473","66,986","7,109","378"
"기타","74,473","66,986","7,109","378"
