"분야-부문","계","일반회계","공기업특별회계","기타특별회계"
"합계","1,674,176","1,454,532","162,259","57,386"
"일반공공행정","74,907","74,852","0","55"
"입법및선거관리","2,751","2,751","0","0"
"지방행정ㆍ재정지원","2,476","2,476","0","0"
"재정ㆍ금융","2,758","2,702","0","55"
"일반행정","66,923","66,923","0","0"
"공공질서및안전","7,242","7,242","0","0"
"재난방재ㆍ민방위","7,189","7,189","0","0"
"소방","53","53","0","0"
"교육","20,592","20,592","0","0"
"유아및초중등교육","17,809","17,809","0","0"
"고등교육","0","0","0","0"
"평생ㆍ직업교육","2,783","2,783","0","0"
"문화및관광","84,528","84,528","0","0"
"문화예술","30,066","30,066","0","0"
"관광","11,070","11,070","0","0"
"체육","33,656","33,656","0","0"
"문화재","9,735","9,735","0","0"
"환경","217,537","78,808","109,508","29,221"
"상하수도ㆍ수질","145,521","7,092","109,508","28,920"
"폐기물","39,972","39,672","0","300"
"대기","31,448","31,448","0","0"
"자연","596","596","0","0"
"사회복지","696,550","691,145","0","5,405"
"기초생활보장","80,113","74,809","0","5,305"
"취약계층지원","130,312","130,312","0","0"
"보육ㆍ가족및여성","195,988","195,988","0","0"
"노인ㆍ청소년","251,058","251,058","0","0"
"노동","8,175","8,175","0","0"
"보훈","9,889","9,889","0","0"
"주택","21,015","20,915","0","100"
"보건","21,135","21,135","0","0"
"보건의료","19,576","19,576","0","0"
"식품의약안전","1,559","1,559","0","0"
"농림해양수산","93,790","93,790","0","0"
"농업ㆍ농촌","78,514","78,514","0","0"
"임업ㆍ산촌","15,276","15,276","0","0"
"산업ㆍ중소기업및에너지","76,615","76,471","0","144"
"산업진흥ㆍ고도화","23,203","23,203","0","0"
"에너지및자원개발","3,195","3,051","0","144"
"산업ㆍ중소기업일반","50,217","50,217","0","0"
"교통및물류","95,615","76,033","0","19,582"
"도로","49,696","49,696","0","0"
"항공ㆍ공항","100","100","0","0"
"대중교통ㆍ물류등기타","45,819","26,237","0","19,582"
"국토및지역개발","108,495","67,620","38,904","1,971"
"수자원","24,308","24,308","0","0"
"지역및도시","82,216","43,312","38,904","0"
"산업단지","1,971","0","0","1,971"
"예비비","5,899","5,443","453","3"
"예비비","5,899","5,443","453","3"
"기타","171,272","156,874","13,394","1,004"
"기타","171,272","156,874","13,394","1,004"
