"분야-부문","계","일반회계","공기업특별회계","기타특별회계"
"합계","590,511","523,337","30,160","37,014"
"일반공공행정","30,779","30,779","0","0"
"입법및선거관리","837","837","0","0"
"재정ㆍ금융","772","772","0","0"
"일반행정","29,171","29,171","0","0"
"공공질서및안전","24,929","24,929","0","0"
"재난방재ㆍ민방위","24,929","24,929","0","0"
"교육","5,281","5,281","0","0"
"유아및초중등교육","2,375","2,375","0","0"
"고등교육","1,982","1,982","0","0"
"평생ㆍ직업교육","925","925","0","0"
"문화및관광","76,094","76,094","0","0"
"문화예술","11,368","11,368","0","0"
"관광","20,592","20,592","0","0"
"체육","39,078","39,078","0","0"
"문화재","5,057","5,057","0","0"
"환경","111,063","49,727","26,897","34,439"
"상하수도ㆍ수질","90,904","29,568","26,897","34,439"
"폐기물","12,554","12,554","0","0"
"대기","2,922","2,922","0","0"
"자연","4,323","4,323","0","0"
"환경보호일반","360","360","0","0"
"사회복지","95,178","94,802","0","376"
"기초생활보장","10,804","10,429","0","376"
"취약계층지원","27,536","27,536","0","0"
"보육ㆍ가족및여성","13,858","13,858","0","0"
"노인ㆍ청소년","36,208","36,208","0","0"
"노동","3,098","3,098","0","0"
"보훈","2,309","2,309","0","0"
"주택","1,365","1,365","0","0"
"보건","7,785","7,785","0","0"
"보건의료","7,389","7,389","0","0"
"식품의약안전","396","396","0","0"
"농림해양수산","71,529","71,529","0","0"
"농업ㆍ농촌","46,996","46,996","0","0"
"임업ㆍ산촌","23,257","23,257","0","0"
"해양수산ㆍ어촌","1,276","1,276","0","0"
"산업ㆍ중소기업및에너지","12,643","11,913","0","730"
"산업진흥ㆍ고도화","5,683","5,683","0","0"
"에너지및자원개발","6,959","6,230","0","730"
"산업ㆍ중소기업일반","0","0","0","0"
"교통및물류","31,617","31,617","0","0"
"도로","24,257","24,257","0","0"
"대중교통ㆍ물류등기타","7,361","7,361","0","0"
"국토및지역개발","50,827","49,457","0","1,370"
"수자원","11,923","10,553","0","1,370"
"지역및도시","37,764","37,764","0","0"
"산업단지","1,139","1,139","0","0"
"예비비","5,115","5,115","0","0"
"예비비","5,115","5,115","0","0"
"기타","67,672","64,309","3,263","100"
"기타","67,672","64,309","3,263","100"
