"분야-부문","계","일반회계","공기업특별회계","기타특별회계"
"합계","558,073","543,558","11,787","2,728"
"일반공공행정","49,191","49,191","0","0"
"입법및선거관리","869","869","0","0"
"지방행정ㆍ재정지원","17,374","17,374","0","0"
"일반행정","30,948","30,948","0","0"
"공공질서및안전","19,535","19,535","0","0"
"재난방재ㆍ민방위","19,535","19,535","0","0"
"교육","8,072","8,072","0","0"
"유아및초중등교육","4,256","4,256","0","0"
"고등교육","2,731","2,731","0","0"
"평생ㆍ직업교육","1,085","1,085","0","0"
"문화및관광","61,530","61,530","0","0"
"문화예술","4,682","4,682","0","0"
"관광","38,822","38,822","0","0"
"체육","16,495","16,495","0","0"
"문화재","1,530","1,530","0","0"
"문화및관광일반","0","0","0","0"
"환경","62,499","53,432","9,066","0"
"상하수도ㆍ수질","44,055","34,988","9,066","0"
"폐기물","11,992","11,992","0","0"
"자연","3,418","3,418","0","0"
"환경보호일반","3,035","3,035","0","0"
"사회복지","106,295","105,696","0","599"
"기초생활보장","10,954","10,355","0","599"
"취약계층지원","22,060","22,060","0","0"
"보육ㆍ가족및여성","16,471","16,471","0","0"
"노인ㆍ청소년","51,820","51,820","0","0"
"노동","2,173","2,173","0","0"
"보훈","2,818","2,818","0","0"
"보건","9,550","9,550","0","0"
"보건의료","7,511","7,511","0","0"
"식품의약안전","2,039","2,039","0","0"
"농림해양수산","110,239","110,234","0","5"
"농업ㆍ농촌","83,086","83,081","0","5"
"임업ㆍ산촌","27,064","27,064","0","0"
"해양수산ㆍ어촌","89","89","0","0"
"산업ㆍ중소기업및에너지","12,641","12,214","0","427"
"산업금융지원","2,861","2,861","0","0"
"산업진흥ㆍ고도화","6,644","6,644","0","0"
"에너지및자원개발","3,136","2,710","0","427"
"교통및물류","16,567","16,567","0","0"
"도로","8,714","8,714","0","0"
"대중교통ㆍ물류등기타","7,853","7,853","0","0"
"국토및지역개발","17,289","15,592","0","1,697"
"수자원","161","0","0","161"
"지역및도시","16,592","15,592","0","1,000"
"산업단지","536","0","0","536"
"예비비","8,451","8,451","0","0"
"예비비","8,451","8,451","0","0"
"기타","76,214","73,493","2,720","0"
"기타","76,214","73,493","2,720","0"
