"분야-부문","계","일반회계","공기업특별회계","기타특별회계"
"합계","1,619,863","1,389,749","165,453","64,661"
"일반공공행정","94,848","94,848","0","0"
"입법및선거관리","2,436","2,436","0","0"
"지방행정ㆍ재정지원","38,669","38,669","0","0"
"재정ㆍ금융","0","0","0","0"
"일반행정","53,743","53,743","0","0"
"공공질서및안전","9,476","9,476","0","0"
"재난방재ㆍ민방위","9,476","9,476","0","0"
"교육","9,643","9,643","0","0"
"유아및초중등교육","7,716","7,716","0","0"
"평생ㆍ직업교육","1,927","1,927","0","0"
"문화및관광","82,039","82,039","0","0"
"문화예술","39,848","39,848","0","0"
"관광","9,637","9,637","0","0"
"체육","29,912","29,912","0","0"
"문화재","2,642","2,642","0","0"
"환경","290,968","114,148","140,178","36,643"
"상하수도ㆍ수질","210,537","33,716","140,178","36,643"
"폐기물","53,402","53,402","0","0"
"대기","25,574","25,574","0","0"
"자연","1,455","1,455","0","0"
"환경보호일반","0","0","0","0"
"사회복지","571,362","565,498","0","5,865"
"기초생활보장","88,580","82,715","0","5,865"
"취약계층지원","8,721","8,721","0","0"
"보육ㆍ가족및여성","179,416","179,416","0","0"
"노인ㆍ청소년","220,773","220,773","0","0"
"노동","8,120","8,120","0","0"
"보훈","5,648","5,648","0","0"
"사회복지일반","60,104","60,104","0","0"
"보건","21,436","21,436","0","0"
"보건의료","20,580","20,580","0","0"
"식품의약안전","856","856","0","0"
"농림해양수산","86,410","86,410","0","0"
"농업ㆍ농촌","67,471","67,471","0","0"
"임업ㆍ산촌","18,000","18,000","0","0"
"해양수산ㆍ어촌","939","939","0","0"
"산업ㆍ중소기업및에너지","50,125","50,125","0","0"
"산업진흥ㆍ고도화","26,729","26,729","0","0"
"에너지및자원개발","6,554","6,554","0","0"
"산업ㆍ중소기업일반","16,842","16,842","0","0"
"교통및물류","86,094","79,515","0","6,579"
"도로","33,556","33,556","0","0"
"대중교통ㆍ물류등기타","52,538","45,959","0","6,579"
"국토및지역개발","118,790","97,629","6,028","15,133"
"수자원","14,347","9,485","0","4,863"
"지역및도시","94,372","87,144","6,028","1,200"
"산업단지","10,071","1,000","0","9,071"
"예비비","10,964","10,964","0","0"
"예비비","10,964","10,964","0","0"
"기타","187,707","168,019","19,248","441"
"기타","187,707","168,019","19,248","441"
