"분야-부문","계","일반회계","공기업특별회계","기타특별회계"
"합계","716,343","644,571","24,347","47,424"
"일반공공행정","23,273","23,273","0","0"
"입법및선거관리","811","811","0","0"
"지방행정ㆍ재정지원","729","729","0","0"
"재정ㆍ금융","173","173","0","0"
"일반행정","21,560","21,560","0","0"
"공공질서및안전","12,423","12,423","0","0"
"재난방재ㆍ민방위","12,423","12,423","0","0"
"교육","8,655","8,655","0","0"
"유아및초중등교육","7,696","7,696","0","0"
"평생ㆍ직업교육","960","960","0","0"
"문화및관광","35,944","35,944","0","0"
"문화예술","8,305","8,305","0","0"
"관광","4,334","4,334","0","0"
"체육","21,351","21,351","0","0"
"문화재","817","817","0","0"
"문화및관광일반","1,137","1,137","0","0"
"환경","112,159","53,133","19,008","40,018"
"상하수도ㆍ수질","85,206","26,180","19,008","40,018"
"폐기물","18,753","18,753","0","0"
"대기","7,027","7,027","0","0"
"자연","1,173","1,173","0","0"
"사회복지","189,151","187,535","0","1,616"
"기초생활보장","24,438","22,822","0","1,616"
"취약계층지원","17,968","17,968","0","0"
"보육ㆍ가족및여성","34,196","34,196","0","0"
"노인ㆍ청소년","98,876","98,876","0","0"
"노동","7,225","7,225","0","0"
"보훈","5,235","5,235","0","0"
"사회복지일반","1,213","1,213","0","0"
"보건","8,587","8,587","0","0"
"보건의료","8,086","8,086","0","0"
"식품의약안전","502","502","0","0"
"농림해양수산","128,691","128,691","0","0"
"농업ㆍ농촌","97,480","97,480","0","0"
"임업ㆍ산촌","31,212","31,212","0","0"
"산업ㆍ중소기업및에너지","17,646","17,389","0","257"
"산업금융지원","3,068","3,068","0","0"
"산업진흥ㆍ고도화","9,479","9,479","0","0"
"에너지및자원개발","272","15","0","257"
"산업ㆍ중소기업일반","4,826","4,826","0","0"
"교통및물류","28,378","26,762","0","1,616"
"도로","14,499","14,499","0","0"
"도시철도","280","280","0","0"
"대중교통ㆍ물류등기타","13,599","11,983","0","1,616"
"국토및지역개발","54,285","50,909","0","3,375"
"수자원","4,580","4,580","0","0"
"지역및도시","46,329","46,329","0","0"
"산업단지","3,375","0","0","3,375"
"예비비","5,190","5,090","0","100"
"예비비","5,190","5,090","0","100"
"기타","91,960","86,179","5,339","442"
"기타","91,960","86,179","5,339","442"
