region,year,coverage_rate
춘천시,2019,97.3
원주시,2019,95.5
강릉시,2019,95.8
속초시,2019,99.6
홍천군,2019,75.1
철원군,2019,89.0
인제군,2019,85.4
춘천시,2020,98.1
원주시,2020,95.6
강릉시,2020,95.1
속초시,2020,99.7
홍천군,2020,77.1
철원군,2020,92.7
인제군,2020,85.7
춘천시,2021,98.2
원주시,2021,95.6
강릉시,2021,95.5
속초시,2021,99.7
홍천군,2021,79.7
철원군,2021,93.4
인제군,2021,85.5
춘천시,2022,98.5
원주시,2022,96.2
강릉시,2022,96.1
속초시,2022,99.6
홍천군,2022,81.0
철원군,2022,93.6
인제군,2022,84.2
춘천시,2023,98.5
원주시,2023,96.3
강릉시,2023,96.6
속초시,2023,99.6
홍천군,2023,81.9
철원군,2023,95.1
인제군,2023,81.3
