시군구,신주소,구주소,시설명,시설유형,용량_톤_일
강릉시,강원특별자치도 강릉시 남구길5번길 30 (포남동),강원특별자치도 강릉시 포남동 1130번지 15호,비상급수시설 (유일연립 옆 공원),(정부지원시설),320톤/일
강릉시,강원특별자치도 강릉시 남산초교길 22-1 (내곡동),강원특별자치도 강릉시 내곡동 75번지 4호,비상급수시설(관동1차 아파트내),(정부지원시설),141톤/일
강릉시,강원특별자치도 강릉시 남구길24번길 25 (포남동),강원특별자치도 강릉시 포남동 1159번지,비상급수시설 (자비원 옆 공원),(정부지원시설),357톤/일
강릉시,강원특별자치도 강릉시 율곡로3173번길 11-1 (죽헌동),강원특별자치도 강릉시 죽헌동 254번지 2호,비상급수시설(죽헌마을회관 옆),(정부지원시설),254톤/일
강릉시,"강원특별자치도 강릉시 금성로 21 (금학동, 금학상가아파트)",강원특별자치도 강릉시 금학동 50번지,비상급수시설(중앙시장내),(공공용시설),250톤/일
강릉시,강원특별자치도 강릉시 강변로 16 (내곡동),강원특별자치도 강릉시 내곡동 81번지,비상급수시설(롯데주류(주)),(공공용시설),2680톤/일
강릉시,강원특별자치도 강릉시 모산로 212-9 (노암동),강원특별자치도 강릉시 노암동 74번지 13호,비상급수시설 (장현 마을회관 옆),(정부지원시설),212톤/일
강릉시,"강원특별자치도 강릉시 종합운동장길 72-21 (교동, 강릉시청소년수련장)",강원특별자치도 강릉시 교동 2번지 21호,비상급수시설(청소년수련관 옆),(정부지원시설),106톤/일
강릉시,강원특별자치도 강릉시 솔올로5번길 37 (교동),강원특별자치도 강릉시 교동 1891번지 1호,비상급수시설(분수공원내),(정부지원시설),180톤/일
강릉시,강원특별자치도 강릉시 입암로92번길 30-11 (입암동),강원특별자치도 강릉시 입암동 311번지 2호,비상급수시설(성덕공원 옆),(지자체시설),143톤/일
속초시,강원특별자치도 속초시 미시령로2983번길 111 (장사동),강원특별자치도 속초시 장사동 24번지 1호,한화리조트 설악 민방위급수시설,(공공용시설),1950톤/일
속초시,강원특별자치도 속초시 설악산로 470-7 (도문동),강원특별자치도 속초시 도문동 155번지,더케이설악산가족호텔 민방위비상급수시설,(공공용시설),336톤/일
