"시군별",2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023
"시군별",총인구 (명),급수인구 (명),보급률 (%),시설용량 (㎥/일),급수량 (㎥/일),1일1인당급수량 (ℓ),급수전수 (개),총인구 (명),급수인구 (명),보급률 (%),시설용량 (㎥/일),급수량 (㎥/일),1일1인당급수량 (ℓ),급수전수 (개),총인구 (명),급수인구 (명),보급률 (%),시설용량 (㎥/일),급수량 (㎥/일),1일1인당급수량 (ℓ),급수전수 (개),총인구 (명),급수인구 (명),보급률 (%),시설용량 (㎥/일),급수량 (㎥/일),1일1인당급수량 (ℓ),급수전수 (개),총인구 (명),급수인구 (명),보급률 (%),시설용량 (㎥/일),급수량 (㎥/일),1일1인당급수량 (ℓ),급수전수 (개)
"전체",1560571,1442558,92.4,842150,653506,453,358057,1560172,1450469,93.0,838050,656747,453,365906,1555876,1451433,93.3,838050,673341,464,371827,1556970,1461694,93.9,839950,678674,464,383350,1551291,1458557,94.0,845750,682542,468,388925
"춘천시",285585,278011,97.3,186000,103893,374,43911,286489,281082,98.1,186000,102973,366,44926,288320,283088,98.2,186000,107666,380,45754,290797,286335,98.5,186000,105104,367,46802,290743,286339,98.5,186000,104568,365,47195
"원주시",352860,336987,95.5,86500,125348,372,61429,357710,341792,95.6,86500,124022,363,62957,361056,345037,95.6,86500,124004,359,63811,364891,350920,96.2,86500,123284,351,64887,366279,352832,96.3,86500,127027,360,66087
"강릉시",215911,206869,95.8,116800,94096,455,56462,215603,204962,95.1,116800,97797,477,58179,215322,205582,95.5,116800,100667,490,58951,214011,205628,96.1,116800,103187,502,60191,212818,205654,96.6,116800,105405,513,61048
"동해시",91453,91061,99.6,75000,46128,507,18461,91492,91097,99.6,75000,48220,529,18677,90809,90414,99.6,75000,49603,549,18901,90261,89866,99.6,75000,48337,538,19173,89597,89243,99.6,75000,47063,527,19375
"태백시",44124,43220,98.0,15000,17753,411,14916,42945,42041,97.9,15000,16832,400,14822,41093,40189,97.8,15000,17233,429,14832,39726,38872,97.9,15000,19833,510,14837,39033,38197,97.9,15000,21060,551,14913
"속초시",82824,82479,99.6,52000,35017,425,19317,83674,83401,99.7,52000,34887,418,19360,83825,83552,99.7,52000,35403,424,19482,84011,83678,99.6,52000,35627,426,19438,83418,83085,99.6,52000,34304,413,19458
"삼척시",68001,62040,91.2,50000,33434,539,20649,65939,60060,91.1,50000,32592,543,20905,64064,58373,91.1,50000,33450,573,21248,64203,57923,90.2,50700,37500,647,21395,63502,57655,90.8,50700,37964,658,21845
"홍천군",70065,52617,75.1,37850,22584,429,13249,70052,54016,77.1,37850,22205,411,14212,69118,55056,79.7,37850,20997,381,14973,68874,55806,81.0,37850,21145,379,15901,68299,55905,81.9,37850,21252,380,16285
"횡성군",47257,38671,81.8,-,17246,446,14549,47097,39610,84.1,-,17116,432,15816,47163,41806,88.6,-,18443,441,15931,47439,43132,90.9,-,19880,461,17557,47402,43686,92.2,-,19568,448,19319
"영월군",39408,30479,77.3,19400,12874,422,12354,38902,30639,78.8,19400,13525,441,11595,38149,30032,78.7,19400,13820,460,11513,37988,30426,80.1,19400,14808,487,13116,37675,30373,80.6,19400,16241,535,13324
"평창군",42577,34869,81.9,38900,17806,511,12172,42132,34491,81.9,38900,18975,550,12434,41460,34156,82.4,38900,19439,569,13407,41526,35059,84.4,38900,20202,576,13823,41237,35186,85.3,38900,21315,606,14546
"정선군",37573,30595,81.4,16400,21306,696,12428,37135,30883,83.2,16400,20220,655,12746,35939,29155,81.1,16400,22273,764,12824,35232,28515,80.9,16400,23735,832,12820,34495,27975,81.1,17200,22734,813,12945
"철원군",46295,41191,89.0,32000,23480,570,15789,45325,42036,92.7,32000,24762,589,16044,43950,41047,93.4,32000,25316,617,16368,43036,40288,93.6,33200,25910,643,16318,42287,40226,95.1,33200,27193,676,16230
"화천군",25181,17189,68.3,8800,12274,714,4502,25081,17198,68.6,8800,11966,696,4563,24425,16651,68.2,8800,11380,683,4614,23614,16082,68.1,8800,10883,677,4745,23275,16094,69.1,8800,10565,656,4795
"양구군",23052,18734,81.3,15400,14545,776,5746,22526,18264,81.1,15400,14291,782,5894,22079,17817,80.7,15400,14721,826,6042,21769,19139,87.9,15400,12334,644,6214,21475,16773,78.1,20400,12073,720,6273
"인제군",31981,27305,85.4,33100,21357,782,10365,31959,27383,85.7,29000,21061,769,10447,32476,27758,85.5,29000,21663,780,10566,32736,27556,84.2,29000,20630,749,12516,32563,26460,81.3,29000,17695,669,11028
"고성군",28392,24433,86.1,29500,15092,618,11478,27869,25313,90.8,29500,15207,601,11709,28432,25549,89.9,29500,17155,671,11895,28647,26128,91.2,29500,17450,668,12504,29117,26588,91.3,29500,17827,670,12621
"양양군",28032,25808,92.1,29500,19272,747,10280,28242,26201,92.8,29500,20097,767,10620,28196,26171,92.8,29500,20111,768,10715,28209,26341,93.4,29500,18826,715,11113,28076,26286,93.6,29500,18687,711,11638
