瘤痢,瘤痢疙,老矫,SPI3,SPI6
90,加檬,2023-01-01,0,0
90,加檬,2023-01-02,1.32,1.25
90,加檬,2023-01-03,1.27,1.29
90,加檬,2023-01-04,.9,1.37
90,加檬,2023-01-05,.53,1.42
90,加檬,2023-01-06,.05,1.46
90,加檬,2023-01-07,-.28,1.47
90,加檬,2023-01-08,-.27,1.48
90,加檬,2023-01-09,-.24,1.49
90,加檬,2023-01-10,-.21,1.54
90,加檬,2023-01-11,-.18,1.5
90,加檬,2023-01-12,-.14,1.53
90,加檬,2023-01-13,.01,1.48
90,加檬,2023-01-14,.27,1.56
90,加檬,2023-01-15,.67,1.68
90,加檬,2023-01-16,.69,1.7
90,加檬,2023-01-17,.68,1.71
90,加檬,2023-01-18,.7,1.75
90,加檬,2023-01-19,.71,1.78
90,加檬,2023-01-20,.71,1.8
90,加檬,2023-01-21,.7,1.51
90,加檬,2023-01-22,.71,1.48
90,加檬,2023-01-23,.54,1.47
90,加檬,2023-01-24,.21,1.52
90,加檬,2023-01-25,.21,1.54
90,加檬,2023-01-26,.22,1.6
90,加檬,2023-01-27,-.1,1.62
90,加檬,2023-01-28,-.16,1.63
90,加檬,2023-01-29,-.16,1.65
90,加檬,2023-01-30,-.15,1.65
90,加檬,2023-01-31,-.14,1.62
90,加檬,2023-02-01,-.1,1.64
90,加檬,2023-02-02,-.05,1.62
90,加檬,2023-02-03,-.04,1.66
90,加檬,2023-02-04,-.04,1.61
90,加檬,2023-02-05,-.05,1.66
90,加檬,2023-02-06,-.02,1.74
90,加檬,2023-02-07,.01,1.82
90,加檬,2023-02-08,.05,1.75
90,加檬,2023-02-09,.08,1.32
90,加檬,2023-02-10,.12,1.21
90,加檬,2023-02-11,.14,1.21
90,加檬,2023-02-12,.1,1.23
90,加檬,2023-02-13,.29,1.35
90,加檬,2023-02-14,.32,1.29
90,加檬,2023-02-15,.37,1.36
90,加檬,2023-02-16,.36,1.27
90,加檬,2023-02-17,.35,1.14
90,加檬,2023-02-18,.35,1.15
90,加檬,2023-02-19,.37,1.19
90,加檬,2023-02-20,.36,1.26
90,加檬,2023-02-21,.36,1.31
90,加檬,2023-02-22,.33,1.32
90,加檬,2023-02-23,.24,1.34
90,加檬,2023-02-24,.24,1.37
90,加檬,2023-02-25,.34,1.44
90,加檬,2023-02-26,.35,1.41
90,加檬,2023-02-27,.36,1.43
90,加檬,2023-02-28,.27,1.46
90,加檬,2023-03-01,.23,1.58
90,加檬,2023-03-02,.23,1.62
90,加檬,2023-03-03,.22,1.6
90,加檬,2023-03-04,.2,1.58
90,加檬,2023-03-05,.17,1.16
90,加檬,2023-03-06,.16,.81
90,加檬,2023-03-07,.17,.83
90,加檬,2023-03-08,.18,.83
90,加檬,2023-03-09,.19,.87
90,加檬,2023-03-10,.19,.93
90,加檬,2023-03-11,.19,.99
90,加檬,2023-03-12,.27,1.05
90,加檬,2023-03-13,.25,1.09
90,加檬,2023-03-14,.25,1.09
90,加檬,2023-03-15,.24,1.12
90,加檬,2023-03-16,.23,1.13
90,加檬,2023-03-17,.23,1.19
90,加檬,2023-03-18,.22,1.22
90,加檬,2023-03-19,.22,1.06
90,加檬,2023-03-20,.2,1.1
90,加檬,2023-03-21,.2,1.12
90,加檬,2023-03-22,.2,1.12
90,加檬,2023-03-23,.17,1.11
90,加檬,2023-03-24,.16,1.15
90,加檬,2023-03-25,.18,1.19
90,加檬,2023-03-26,.17,1.22
90,加檬,2023-03-27,.16,1.24
90,加檬,2023-03-28,.15,1.23
90,加檬,2023-03-29,.14,1.24
90,加檬,2023-03-30,.13,1.24
90,加檬,2023-03-31,.12,1.23
90,加檬,2023-04-01,.1,1.24
90,加檬,2023-04-02,.1,1.22
90,加檬,2023-04-03,.06,1.17
90,加檬,2023-04-04,.05,.76
90,加檬,2023-04-05,.42,.56
90,加檬,2023-04-06,.37,.11
90,加檬,2023-04-07,.35,-.17
90,加檬,2023-04-08,.37,-.15
90,加檬,2023-04-09,.35,-.13
90,加檬,2023-04-10,.32,-.13
90,加檬,2023-04-11,.39,-.07
90,加檬,2023-04-12,.35,-.04
90,加檬,2023-04-13,.13,-.03
90,加檬,2023-04-14,-.32,-.04
90,加檬,2023-04-15,-1.18,-.02
90,加檬,2023-04-16,-1.07,0
90,加檬,2023-04-17,-.97,.01
90,加檬,2023-04-18,-.8,.11
90,加檬,2023-04-19,-.88,.09
90,加檬,2023-04-20,-.88,.08
90,加檬,2023-04-21,-.89,.08
90,加檬,2023-04-22,-.88,.08
90,加檬,2023-04-23,-.89,-.12
90,加檬,2023-04-24,-.8,-.42
90,加檬,2023-04-25,-.78,-.42
90,加檬,2023-04-26,-.87,-.44
90,加檬,2023-04-27,-.9,-.76
90,加檬,2023-04-28,-.92,-.83
90,加檬,2023-04-29,-.89,-.83
90,加檬,2023-04-30,-.9,-.83
90,加檬,2023-05-01,-.98,-.8
90,加檬,2023-05-02,-.99,-.75
90,加檬,2023-05-03,-1.01,-.75
90,加檬,2023-05-04,-1.01,-.75
90,加檬,2023-05-05,-.83,-.66
90,加檬,2023-05-06,-.11,-.24
90,加檬,2023-05-07,-.18,-.23
90,加檬,2023-05-08,-.2,-.22
90,加檬,2023-05-09,-.21,-.21
90,加檬,2023-05-11,-.26,-.19
90,加檬,2023-05-12,-.29,-.25
90,加檬,2023-05-13,-.76,-.4
90,加檬,2023-05-14,-.81,-.39
90,加檬,2023-05-15,-.87,-.36
90,加檬,2023-05-16,-.88,-.36
90,加檬,2023-05-17,-.86,-.37
90,加檬,2023-05-18,-.82,-.36
90,加檬,2023-05-19,-.87,-.37
90,加檬,2023-05-20,-.87,-.37
90,加檬,2023-05-21,-.86,-.38
90,加檬,2023-05-22,-.89,-.41
90,加檬,2023-05-23,-.87,-.47
90,加檬,2023-05-24,-.81,-.49
90,加檬,2023-05-25,-.96,-.49
90,加檬,2023-05-26,-1,-.51
90,加檬,2023-05-27,-.9,-.43
90,加檬,2023-05-28,-.72,-.41
90,加檬,2023-05-29,-.68,-.37
90,加檬,2023-05-30,-.68,-.36
90,加檬,2023-05-31,-.7,-.38
90,加檬,2023-06-01,-.69,-.39
90,加檬,2023-06-02,-.69,-.4
90,加檬,2023-06-03,-.7,-.42
90,加檬,2023-06-04,-.7,-.43
90,加檬,2023-06-05,-.71,-.45
90,加檬,2023-06-06,-.71,-.46
90,加檬,2023-06-07,-.73,-.48
90,加檬,2023-06-08,-.77,-.49
90,加檬,2023-06-09,-.6,-.38
90,加檬,2023-06-10,-.3,-.19
90,加檬,2023-06-11,-.24,-.14
90,加檬,2023-06-12,-.33,-.15
90,加檬,2023-06-13,-.15,-.04
90,加檬,2023-06-14,-.15,-.05
90,加檬,2023-06-15,-.16,-.06
90,加檬,2023-06-16,-.17,-.07
90,加檬,2023-06-17,-.18,-.08
90,加檬,2023-06-18,-.24,-.12
90,加檬,2023-06-19,-.27,-.14
90,加檬,2023-06-20,-.3,-.18
90,加檬,2023-06-21,.09,.1
90,加檬,2023-06-22,.12,.12
90,加檬,2023-06-23,.09,.08
90,加檬,2023-06-24,.05,.04
90,加檬,2023-06-25,-.01,0
90,加檬,2023-06-26,.2,.17
90,加檬,2023-06-27,.3,.25
90,加檬,2023-06-28,.29,.24
90,加檬,2023-06-29,.59,.47
90,加檬,2023-06-30,.62,.48
90,加檬,2023-07-01,.54,.42
90,加檬,2023-07-02,.46,.36
90,加檬,2023-07-03,.42,.31
90,加檬,2023-07-04,.44,.33
90,加檬,2023-07-05,.33,.41
90,加檬,2023-07-06,.31,.37
90,加檬,2023-07-07,.27,.32
90,加檬,2023-07-08,.25,.31
90,加檬,2023-07-09,.39,.44
90,加檬,2023-07-10,.4,.43
90,加檬,2023-07-11,.32,.38
90,加檬,2023-07-12,.25,.3
90,加檬,2023-07-13,.28,.24
90,加檬,2023-07-14,.29,.07
90,加檬,2023-07-15,.23,-.28
90,加檬,2023-07-16,.16,-.33
90,加檬,2023-07-17,.14,-.33
90,加檬,2023-07-18,.04,-.35
90,加檬,2023-07-19,.01,-.4
90,加檬,2023-07-20,0,-.42
90,加檬,2023-07-21,-.01,-.44
90,加檬,2023-07-22,-.05,-.47
90,加檬,2023-07-23,-.05,-.48
90,加檬,2023-07-24,-.05,-.46
90,加檬,2023-07-25,-.12,-.54
90,加檬,2023-07-26,-.13,-.56
90,加檬,2023-07-27,-.18,-.6
90,加檬,2023-07-28,-.21,-.62
90,加檬,2023-07-29,-.23,-.63
90,加檬,2023-07-30,-.23,-.66
90,加檬,2023-07-31,-.27,-.7
90,加檬,2023-08-01,-.29,-.75
90,加檬,2023-08-02,-.33,-.78
90,加檬,2023-08-03,-.37,-.81
90,加檬,2023-08-04,-.39,-.81
90,加檬,2023-08-05,-.48,-.82
90,加檬,2023-08-06,-.45,-.52
90,加檬,2023-08-07,-.06,-.19
90,加檬,2023-08-08,-.09,-.22
90,加檬,2023-08-09,.06,-.07
90,加檬,2023-08-10,1.72,1.46
90,加檬,2023-08-11,1.7,1.45
90,加檬,2023-08-12,1.69,1.42
90,加檬,2023-08-13,1.71,1.31
90,加檬,2023-08-14,1.67,1.28
90,加檬,2023-08-15,1.6,1.22
90,加檬,2023-08-16,1.57,1.2
90,加檬,2023-08-17,1.55,1.18
90,加檬,2023-08-18,1.5,1.14
90,加檬,2023-08-19,1.46,1.06
90,加檬,2023-08-20,1.46,1.07
90,加檬,2023-08-21,1.44,1.05
90,加檬,2023-08-22,1.4,1.03
90,加檬,2023-08-23,1.6,1.24
90,加檬,2023-08-24,1.64,1.29
90,加檬,2023-08-25,1.65,1.27
90,加檬,2023-08-26,1.63,1.25
90,加檬,2023-08-27,1.54,1.2
90,加檬,2023-08-28,1.5,1.24
90,加檬,2023-08-29,1.47,1.22
90,加檬,2023-08-30,1.53,1.28
90,加檬,2023-08-31,1.48,1.22
90,加檬,2023-09-01,1.33,1.1
90,加檬,2023-09-02,1.26,.97
90,加檬,2023-09-03,1.24,.94
90,加檬,2023-09-04,1.23,.94
90,加檬,2023-09-05,1.2,.91
90,加檬,2023-09-06,1.19,.9
90,加檬,2023-09-07,1.14,.84
90,加檬,2023-09-08,1.15,.84
90,加檬,2023-09-09,1.1,.83
90,加檬,2023-09-10,1,.81
90,加檬,2023-09-11,.93,.76
90,加檬,2023-09-12,.9,.71
90,加檬,2023-09-13,1.09,.95
90,加檬,2023-09-14,1.11,.96
90,加檬,2023-09-15,1.09,.94
90,加檬,2023-09-16,1.09,.92
90,加檬,2023-09-17,1.17,1
90,加檬,2023-09-18,1.15,.97
90,加檬,2023-09-19,1.14,.96
90,加檬,2023-09-20,1.32,1.12
90,加檬,2023-09-21,1.19,1.1
90,加檬,2023-09-22,1.18,1.09
90,加檬,2023-09-23,1.21,1.1
90,加檬,2023-09-24,1.2,1.08
90,加檬,2023-09-25,1.24,1.09
90,加檬,2023-09-26,1.23,1.16
90,加檬,2023-09-27,1.24,1.19
90,加檬,2023-09-28,1.24,1.19
90,加檬,2023-09-29,1.12,1.19
