region,month,SPI_raw,year,month_num
강릉,2023-01,0.017,2023,1
강릉,2023-02,0.062,2023,2
강릉,2023-03,-0.286,2023,3
강릉,2023-04,-1.091,2023,4
강릉,2023-05,-1.246,2023,5
강릉,2023-06,-0.58,2023,6
강릉,2023-07,-0.169,2023,7
강릉,2023-08,0.615,2023,8
강릉,2023-09,0.537,2023,9
강릉,2023-10,0.604,2023,10
강릉,2023-11,-0.224,2023,11
강릉,2023-12,0.373,2023,12
강릉,2024-01,1.01,2024,1
강릉,2024-02,1.726,2024,2
강릉,2024-03,1.506,2024,3
강릉,2024-04,1.11,2024,4
강릉,2024-05,0.366,2024,5
강릉,2024-06,-0.448,2024,6
강릉,2024-07,-0.628,2024,7
강릉,2024-08,-1.699,2024,8
강릉,2024-09,-1.191,2024,9
강릉,2024-10,0.122,2024,10
강릉,2024-11,0.959,2024,11
강릉,2024-12,0.974,2024,12
강릉,2025-01,-0.417,2025,1
강릉,2025-02,-1.368,2025,2
강릉,2025-03,-0.651,2025,3
강릉,2025-04,-0.418,2025,4
강릉,2025-05,-0.478,2025,5
강릉,2025-06,-1.406,2025,6
강릉,2025-07,-2.114,2025,7
강릉,2025-08,-2.06,2025,8
강릉,2025-09,-1.88,2025,9
강릉,2025-10,0.258,2025,10
속초,2023-01,0.293,2023,1
속초,2023-02,0.195,2023,2
속초,2023-03,0.194,2023,3
속초,2023-04,-0.382,2023,4
속초,2023-05,-0.729,2023,5
속초,2023-06,-0.215,2023,6
속초,2023-07,0.129,2023,7
속초,2023-08,1.036,2023,8
속초,2023-09,1.16,2023,9
속초,2023-10,1.23,2023,10
속초,2023-11,0.211,2023,11
속초,2023-12,0.447,2023,12
속초,2024-01,0.923,2024,1
속초,2024-02,1.325,2024,2
속초,2024-03,1.187,2024,3
속초,2024-04,0.76,2024,4
속초,2024-05,0.452,2024,5
속초,2024-06,-0.393,2024,6
속초,2024-07,-0.359,2024,7
속초,2024-08,-1.559,2024,8
속초,2024-09,-1.319,2024,9
속초,2024-10,-0.138,2024,10
속초,2024-11,0.8,2024,11
속초,2024-12,0.862,2024,12
속초,2025-01,-0.895,2025,1
속초,2025-02,-1.876,2025,2
속초,2025-03,-0.972,2025,3
속초,2025-04,-0.386,2025,4
속초,2025-05,-0.152,2025,5
속초,2025-06,-0.551,2025,6
속초,2025-07,-1.315,2025,7
속초,2025-08,-1.656,2025,8
속초,2025-09,-1.281,2025,9
속초,2025-10,0.725,2025,10
원주,2023-01,-0.206,2023,1
원주,2023-02,-0.087,2023,2
원주,2023-03,-1.255,2023,3
원주,2023-04,-1.974,2023,4
원주,2023-05,-1.152,2023,5
원주,2023-06,-0.299,2023,6
원주,2023-07,0.565,2023,7
원주,2023-08,0.482,2023,8
원주,2023-09,0.337,2023,9
원주,2023-10,0.028,2023,10
원주,2023-11,0.367,2023,11
원주,2023-12,1.102,2023,12
원주,2024-01,1.735,2024,1
원주,2024-02,1.486,2024,2
원주,2024-03,1.087,2024,3
원주,2024-04,0.31,2024,4
원주,2024-05,0.029,2024,5
원주,2024-06,-0.378,2024,6
원주,2024-07,0.411,2024,7
원주,2024-08,0.334,2024,8
원주,2024-09,0.091,2024,9
원주,2024-10,0.005,2024,10
원주,2024-11,0.306,2024,11
원주,2024-12,1.347,2024,12
원주,2025-01,0.589,2025,1
원주,2025-02,-0.238,2025,2
원주,2025-03,-1.072,2025,3
원주,2025-04,-0.828,2025,4
원주,2025-05,-0.427,2025,5
원주,2025-06,-0.408,2025,6
원주,2025-07,-0.538,2025,7
원주,2025-08,-0.975,2025,8
원주,2025-09,-0.999,2025,9
원주,2025-10,0.098,2025,10
인제,2023-01,0.503,2023,1
인제,2023-02,0.985,2023,2
인제,2023-03,-0.003,2023,3
인제,2023-04,-0.185,2023,4
인제,2023-05,-0.019,2023,5
인제,2023-06,0.283,2023,6
인제,2023-07,0.706,2023,7
인제,2023-08,0.124,2023,8
인제,2023-09,-0.021,2023,9
인제,2023-10,-0.485,2023,10
인제,2023-11,0.229,2023,11
인제,2023-12,0.939,2023,12
인제,2024-01,1.641,2024,1
인제,2024-02,1.299,2024,2
인제,2024-03,1.045,2024,3
인제,2024-04,0.188,2024,4
인제,2024-05,-0.154,2024,5
인제,2024-06,-0.597,2024,6
인제,2024-07,0.302,2024,7
인제,2024-08,-0.191,2024,8
인제,2024-09,-0.433,2024,9
인제,2024-10,-0.395,2024,10
인제,2024-11,0.349,2024,11
인제,2024-12,1.274,2024,12
인제,2025-01,0.032,2025,1
인제,2025-02,-0.752,2025,2
인제,2025-03,-0.43,2025,3
인제,2025-04,0.16,2025,4
인제,2025-05,0.419,2025,5
인제,2025-06,-0.107,2025,6
인제,2025-07,-0.766,2025,7
인제,2025-08,-0.94,2025,8
인제,2025-09,-0.304,2025,9
인제,2025-10,0.832,2025,10
철원,2023-01,0.511,2023,1
철원,2023-02,0.7,2023,2
철원,2023-03,-0.504,2023,3
철원,2023-04,-0.404,2023,4
철원,2023-05,0.344,2023,5
철원,2023-06,0.929,2023,6
철원,2023-07,1.122,2023,7
철원,2023-08,0.373,2023,8
철원,2023-09,0.072,2023,9
철원,2023-10,-0.33,2023,10
철원,2023-11,0.236,2023,11
철원,2023-12,1.016,2023,12
철원,2024-01,1.485,2024,1
철원,2024-02,0.945,2024,2
철원,2024-03,0.644,2024,3
철원,2024-04,0.077,2024,4
철원,2024-05,0.246,2024,5
철원,2024-06,-0.134,2024,6
철원,2024-07,0.661,2024,7
철원,2024-08,1.248,2024,8
철원,2024-09,1.108,2024,9
철원,2024-10,0.838,2024,10
철원,2024-11,0.119,2024,11
철원,2024-12,0.333,2024,12
철원,2025-01,-0.735,2025,1
철원,2025-02,-1.047,2025,2
철원,2025-03,-0.966,2025,3
철원,2025-04,-0.008,2025,4
철원,2025-05,0.58,2025,5
철원,2025-06,0.572,2025,6
철원,2025-07,0.107,2025,7
철원,2025-08,-0.213,2025,8
철원,2025-09,0.388,2025,9
철원,2025-10,1.069,2025,10
춘천,2023-01,0.601,2023,1
춘천,2023-02,0.96,2023,2
춘천,2023-03,-0.109,2023,3
춘천,2023-04,-0.469,2023,4
춘천,2023-05,-0.061,2023,5
춘천,2023-06,0.46,2023,6
춘천,2023-07,0.892,2023,7
춘천,2023-08,0.125,2023,8
춘천,2023-09,-0.102,2023,9
춘천,2023-10,-0.645,2023,10
춘천,2023-11,0.211,2023,11
춘천,2023-12,1.195,2023,12
춘천,2024-01,1.997,2024,1
춘천,2024-02,1.614,2024,2
춘천,2024-03,1.138,2024,3
춘천,2024-04,0.341,2024,4
춘천,2024-05,0.214,2024,5
춘천,2024-06,-0.307,2024,6
