순번,연도,지역,수량,유수율
1,2021,강원특별자치도 춘천시,32456453,82.4
2,2021,강원특별자치도 원주시,36626248,80.7
3,2021,강원특별자치도 강릉시,25678195,69.7
4,2021,강원특별자치도 동해시,11952728,65.8
5,2021,강원특별자치도 태백시,4425121,70.2
6,2021,강원특별자치도 속초시,10208676,78.8
7,2021,강원특별자치도 삼척시,7483026,61.1
8,2021,강원특별자치도 홍천군,6432163,83.7
9,2021,강원특별자치도 횡성군,5275724,78.2
10,2021,강원특별자치도 영월군,3322574,65.7
11,2021,강원특별자치도 평창군,4082351,57.4
12,2021,강원특별자치도 정선군,4342343,53.3
13,2021,강원특별자치도 철원군,6429204,69.4
14,2021,강원특별자치도 화천군,3283556,78.8
15,2021,강원특별자치도 양구군,3124412,58.0
16,2021,강원특별자치도 인제군,5458212,68.8
17,2021,강원특별자치도 고성군,4750663,75.7
18,2021,강원특별자치도 양양군,4434420,60.2
