region,year,month_num,month,WUI_raw
강릉,2023,1,2023-01,66.7
강릉,2023,2,2023-02,66.7
강릉,2023,3,2023-03,66.7
강릉,2023,4,2023-04,66.7
강릉,2023,5,2023-05,66.7
강릉,2023,6,2023-06,66.7
강릉,2023,7,2023-07,66.7
강릉,2023,8,2023-08,66.7
강릉,2023,9,2023-09,66.7
강릉,2023,10,2023-10,66.7
강릉,2023,11,2023-11,66.7
강릉,2023,12,2023-12,66.7
강릉,2024,1,2024-01,65.3
강릉,2024,2,2024-02,65.3
강릉,2024,3,2024-03,65.3
강릉,2024,4,2024-04,65.3
강릉,2024,5,2024-05,65.3
강릉,2024,6,2024-06,65.3
강릉,2024,7,2024-07,65.3
강릉,2024,8,2024-08,65.3
강릉,2024,9,2024-09,65.3
강릉,2024,10,2024-10,65.3
강릉,2024,11,2024-11,65.3
강릉,2024,12,2024-12,65.3
강릉,2025,1,2025-01,63.8
강릉,2025,2,2025-02,63.8
강릉,2025,3,2025-03,63.8
강릉,2025,4,2025-04,63.8
강릉,2025,5,2025-05,63.8
강릉,2025,6,2025-06,63.8
강릉,2025,7,2025-07,63.8
강릉,2025,8,2025-08,63.8
강릉,2025,9,2025-09,63.8
강릉,2025,10,2025-10,63.8
강릉,2025,11,2025-11,63.8
강릉,2025,12,2025-12,63.8
속초,2023,1,2023-01,80.8
속초,2023,2,2023-02,80.8
속초,2023,3,2023-03,80.8
속초,2023,4,2023-04,80.8
속초,2023,5,2023-05,80.8
속초,2023,6,2023-06,80.8
속초,2023,7,2023-07,80.8
속초,2023,8,2023-08,80.8
속초,2023,9,2023-09,80.8
속초,2023,10,2023-10,80.8
속초,2023,11,2023-11,80.8
속초,2023,12,2023-12,80.8
속초,2024,1,2024-01,82.3
속초,2024,2,2024-02,82.3
속초,2024,3,2024-03,82.3
속초,2024,4,2024-04,82.3
속초,2024,5,2024-05,82.3
속초,2024,6,2024-06,82.3
속초,2024,7,2024-07,82.3
속초,2024,8,2024-08,82.3
속초,2024,9,2024-09,82.3
속초,2024,10,2024-10,82.3
속초,2024,11,2024-11,82.3
속초,2024,12,2024-12,82.3
속초,2025,1,2025-01,83.3
속초,2025,2,2025-02,83.3
속초,2025,3,2025-03,83.3
속초,2025,4,2025-04,83.3
속초,2025,5,2025-05,83.3
속초,2025,6,2025-06,83.3
속초,2025,7,2025-07,83.3
속초,2025,8,2025-08,83.3
속초,2025,9,2025-09,83.3
속초,2025,10,2025-10,83.3
속초,2025,11,2025-11,83.3
속초,2025,12,2025-12,83.3
원주,2023,1,2023-01,81.9
원주,2023,2,2023-02,81.9
원주,2023,3,2023-03,81.9
원주,2023,4,2023-04,81.9
원주,2023,5,2023-05,81.9
원주,2023,6,2023-06,81.9
원주,2023,7,2023-07,81.9
원주,2023,8,2023-08,81.9
원주,2023,9,2023-09,81.9
원주,2023,10,2023-10,81.9
원주,2023,11,2023-11,81.9
원주,2023,12,2023-12,81.9
원주,2024,1,2024-01,82.9
원주,2024,2,2024-02,82.9
원주,2024,3,2024-03,82.9
원주,2024,4,2024-04,82.9
원주,2024,5,2024-05,82.9
원주,2024,6,2024-06,82.9
원주,2024,7,2024-07,82.9
원주,2024,8,2024-08,82.9
원주,2024,9,2024-09,82.9
원주,2024,10,2024-10,82.9
원주,2024,11,2024-11,82.9
원주,2024,12,2024-12,82.9
